브랜드,제품명,원래 가격,최종 가격,리뷰 수,리뷰 등급,점수 비율_5점,점수 비율_4점,점수 비율_3점,점수 비율_2점,점수 비율_1점,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요
닥터지,[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,38000,28800,2481,5,93,6,1,0,0,34,54,12,55,45,1,82,18,1
라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),39000,31590,15804,5,86,10,3,1,1,53,43,4,46,54,0,76,24,0
에스네이처,[수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),24000,17900,13524,5,83,12,4,1,1,35,56,9,78,20,2,77,23,1
토리든,[단독기획] 토리든 다이브인 수딩크림 100ml 기획(+수딩크림 20ml),24000,18000,2772,5,86,10,3,0,1,33,49,18,66,34,1,79,21,1
넘버즈인,[수딩진정]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,40000,24800,3611,5,82,13,3,1,1,21,54,25,32,68,1,67,29,4
더하르나이,[화잘먹크림/단독기획]더하르나이 시카이드 크림 100ml + 30ml 기획,29000,23200,1471,5,88,8,3,1,0,35,56,9,63,37,1,82,18,1
파티온,"[7월 올영픽/단독기획] 파티온 노스카나인 트러블 크림 45ml 기획(+크림5ml, 세럼15ml 증정)",32000,22800,7511,5,89,8,3,0,0,19,57,25,24,76,1,81,19,1
에스트라,[NEW]에스트라 아토베리어365 크림 80ml,0,33000,1829,5,90,7,2,1,1,56,40,4,82,18,0,82,18,1
에스네이처,[화해1위/수분쿨링진정] 에스네이처 아쿠아 오아시스 수분 젤크림 90ml 기획 (+카밍패드 2매),34000,22900,1176,5,89,8,3,0,0,23,44,34,44,56,1,75,25,1
메이크프렘,[단독기획] 메이크프렘 인테카 수딩크림 50ml+31ml 기획,24000,17800,3957,5,83,12,4,1,1,21,61,18,27,73,1,74,26,1
라운드랩,[크림본품증정] 라운드랩 자작나무 수분 크림 80ml 1+1 기획 (+50ml),32000,29800,8653,5,81,13,4,1,1,36,52,12,66,34,1,77,23,1
