제품명,리뷰어,리뷰어 정보,별점,한달이상사용,재구매여부,리뷰내용,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_주름/미백에 좋아요,피부고민_진정에 좋아요,자극도_보통이에요,자극도_자극없이 순해요,자극도_자극이 느껴져요
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,,,4,0,0,"컵 받고싶어서 샀어요
크림은 튜브형태러 내줄 생각은 없는건지 궁금해요",0,1,0,0,0,1,1,0,0
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,수밍배,복합성 겨울쿨톤 각질 모공,5,0,0,아빠 사드렸는데 좋아해요 근데 바르는게 쫌 별로긴 한데 투브타입으로 나오면 더 좋을 듯,0,1,0,0,0,1,1,0,0
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,후르치키타,,5,0,0,"슬픔이 컵 넘 귀여워요!!!
슬픔이가 최애라서 슬픔이 나오길 기대했는데 진짜 슬픔이!

닥터지 크림은 원래 잘쓰고 있던거라서
짱구 콜라보때부터 쭈욱 계속 잘쓰고 있습니당!
기획세트 나올때마다 사는듯..
이번 기획세트에는 떠서 사용하는 스패출라도 들어있네요

순하고 좋아요 젤크림 타입이라서 메이크업전에 바르면
흡수도 빠르고 붉은기 진정도 돼서 좋아요
여름에는 매일 이것만씀",1,0,0,1,0,0,0,1,0
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,xxjjxx,건성 쿨톤 민감성 트러블,5,0,0,"닥터지는 사계절 내내 잘 사용하고잇어요 ㅎㅎㅎ

물론 건성피부에게 겨울에는 얼굴당김잇어서 나이트크림으론 추천하진않아요 ㅎㅎㅎ

겨울에는 오전에는 바르고 호ㅏ장하기때문에 가볍게 바르는편이예요 ㅎㅎㅎ

근데 아예 수분이없지않아요 ㅎㅎㅎ 수분감도 어느정도잇지만 겨울엔 살짝 가벼운? (건성에게)

지금같은 여름에는 정말사용하기좋아요~_~

닥터지 퀵수딩패드도 사용중인데 여름에 열진정 시키면서 마스크팩 대용으로 수딩패드가 짱임 ㅎㅎㅎ

수딩패드사용한후에 수딩크림 얇게도포해주면 수분도 짱짱하게 충전되면서 열진정도되고 좋더라구요~~

민감한피부이거나 유분기잇으시거나 다 추천드려요

다좋아용 ㅎㅎㅎ

양도 은근 꽤되는편이고 가끔행사할때 구매해주고잇는데 좋은거같아요 ㅎㅎㅎ이번엔 인사이드아웃에 컵 불안이걸림 ㅎㅎ",1,0,0,0,0,1,0,1,0
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,무미니,건성 가을웜톤 미백 블랙헤드,5,1,0,"사용감이 가벼운 제품이라 여름에 쓰기 너무 좋아요
수딩크림 같은 제형이고 끈적임이 남지 않아서 수분만 채우기 좋은 것 같아요
성분도 순하고 진정효과도 있어서 만족합니다",0,0,1,0,0,1,0,1,0
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),,,5,0,0,"찐찐템😍
이거 진짜 미쳤어..

내가 효과가 좋아서
화학적 각질제거제품을 너무 자주 사용하다보니..
피부장벽이 완전 무너졌었거든?ㅠ

그런데 진짜 거짓말안치고
피부과 안가고 얘로 다 복구시켰어..ㅋㅋ

얘가 얼마나 좋냐면..
예전에 배송비딜로 시켰던 샘플이 너무 맘에 들어서
다 쓰고 이제 본품까지 산거야ㅇㅇ

하루만 발라서는 솔직히 드라마틱한 효과는 힘들지..
그런데 진짜 딱 그 샘플에 적혀있던 문구처럼
1주일만 얘 써봐..ㅠ

지성피부한테는 B5+가 기름질 수 있어서
B5를 더 추천한다는 글을 많이 봤는데..
나는 B5+ 괜찮았어ㅋㅋ
오히려 그 느낌이 무너진 피부장벽의 유수분밸런스를 맞춰주는 것 같달까?

다만 제형자체가 엄청 가벼운 느낌은 아니라서
화장전에 바르는건 비추ㅇㅇ

진짜 너무너무 좋은 제품인데
가격이 참 부담스럽다는게 치명적인 단점 같아..ㅠ

이게 기획구성이 종종 바뀌는 것 같던데..
그러다보니 정가도 좀 변동이 있는 편이거든?
그런데 거의 할인율은 30%대인 것 같아ㅇㅇ

일단 현재기준으로 B5+ 100ml기획 정가는 39,000원이고
지금은 31%할인들어가서 26,8000원이야
200ml기획은 오특 때 30%까지 내려가서 47,100원이더라!

참고로
B5 100ml 기획도 오특 때 33%정도 들어가서 32,400원이고..

그냥 30%대 할인률이면 구매ㄱㄱ해도 괜찮을 것 같아ㅇㅇ

내가 홈케어로 피부 복구할 수 있게 만들어준 찐찐템인만큼 열심히 적어봤는데
다들 이걸로 복구성공했으면 좋겠다🥺

👍도움이 돼요👍 눌러주면 다음에도 솔직하고 꼼꼼한 후기로 돌아올께~~ 오늘도 내 리뷰 읽어줘서 고마워!!

➕ 참고로 나는 라로슈포제 공홈에서 샘플링 받았고, 샘플이랑 같이 20% 할인쿠폰코드도 주니까
올영에서 할인안하면 공홈도 추천할께!

➕ 홈케어로 복구는 성공했고..
피부과 압출시술 이후에 자극받은 피부에도 효과있는지 한번 써보려고해!
👍도움이 돼요👍 많이 눌러주면 얼른 다녀와서 글 추가해볼께!!

➕ 다들 많이 기다렸지ㅠ
글자가 1,000자 제한이라서 사진으로 추가했어!! 꼭 보고 참고해..💓

그리구 다들 👍도움이돼요👍 많이 눌러줘서 정말 고마워ㅠㅠ 내 원동력이야..
더 알려줄거 있으면 언제든지 추가할께!!",0,0,1,0,0,1,0,1,0
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),말티츄,지성 여름쿨톤 모공 잡티,5,0,0,"점/사마귀 등등 피부과에서 잡티 제거 했는데
재생크림으로 라포슈포제 시카크림 추천해주더라구요!
그래서 기획상품 세일할때 구매했어요
나름 합리적인 금액으로 구매한 것 같아서 기분좋네요
발림성 부드럽습니다ㅎㅎ
살짝 농축된크림이에요 그래서 조금씩덜어서 톡톡톡 발라서 사용하면 잘발려요! 재생용으로 쓰는거라 지성/수부지들에겐
유분이 올라올수 있습니다.
저처럼 재생용으로 쓰는분들에게만 추천드리고 싶어요~
겨울에 특히 건성이신분들에겐 너무 좋은 크림일 것 같아요
여름에 사용하기에는 살짝 무거울수 있으니 겨울에 사용하는걸 추천드립니다! 겨울에 사용하면 피부장벽 엄청 튼튼 할 것 같아요ㅋㅋ
사용하면서 굳이 개선해야할 점이 있다면
세일을 자주해줬으면 좋겠어요 특히 기획상품이나 대용량상품같은거 세일 많이 해주세요!",1,0,0,1,0,0,0,1,0
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),해맑다,지성 가을웜톤 다크서클 민감성,3,1,0,"지성피부기준 너무 답답한 크림이에요..

✔️발림성이 혼합자차 선크림같아요. 엄청 건조한건 아니지만 꾸덕하고 텁텁했고, 백탁까지 있습니다ㅠ 피부가 숨을 못쉬지 않을까 싶을정도로 답답했어요..
✔️느낌뿐만 아니라 실제로 모공이 막히는건지 유분이 많이 올라오는 코와 앞볼쪽에 트러블이 생겼습니다ㅜㅠ 좁쌀같이 자잘하게 올라와요..
✔️흡수가 과연 되는 제품인지 의문입니다.. 발림성이 안좋으니까 미리 손에 녹여서 얇게 깔아줘도 막을 씌운 느낌이라 여전히 답답해요..

호불호가 심하고 잘 맞는 사람은 잘 맞는대서 구매해본건데 진짜 너무 손이 안가요ㅠㅠ 재생크림으로 사용하면 괜찮다 하니까 추후 피부과 다녀오면 사용하는 용으로는 사용해볼 의향이 있습니다.",1,0,0,1,0,0,1,0,0
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),마법의소라고동,지성 봄웜톤 모공 미백,5,1,0,"첨 라로슈포제를 썼을 땐 비타민C랑 B5로 만나 거의 10통을 더 쓴 것 같아요.
그러다 이 크림을 알게 됐었는데
여태 써오던 것과는 제형도 다르고 뭔가 좀 특이해서
억지로 썼던 기억이 있어요
근데 알고 보니 이 시카크림이 엄청난 존재였더라구요
최근에 컨디션도 저조하고 계속 아프더니 얼굴도 뒤집어져서 힘든 적이 있었는데
자기 전에 이 시카플러스트를 엄청 올리고 자길 꽤 오래.
결국 다 나았네요ㅎ
피부과 의사들도 즐겨쓰는 강추하는 제품이더라구요.
이젠 알고 또 샀어요
이번엔 밤 이거랑 은색텍이 붙은 좀 더 가벼운 보습탄려끄림로 두개 병행해 보려구요
에스트라365도 같이 잘 쓰고 있는데
정말 비싼 브랜드들 크림 다 놔두고 자꾸 얘네들에게만 손이 가네요ㅎ
내 피부가 아픈지 몰랐을 때랑 체험하고 나서랑
제 화장품 사용루틴이 달라진 것 같아요
감사해요 이런 제품들^^",1,0,0,0,0,1,0,1,0
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),SOLE,건성 웜톤 미백 잡티,5,1,0,"외부로부터 자극받은 피부진정, 손상피부 장벽을 개선해주는 집중손상케어 밤으로, 기초화장후 크림단계에서 부드럽게 펴발라주면 아주 좋은 효과를 얻을수 있어요~
제형은 촉촉하고 부드럽게 발리고, 바른직후 잠깐 번들거리거나 그렇지는 않고, 금방피부에 스며드네요~
좋은제품인것 같네요^^",0,1,0,1,0,0,0,1,0
